count,ALMA # (Unique ID),Title (English Short),Repository Link,Link to Catalog,Material Type,Author,Year
35,9177-1001,Avicenna's Canon of Medicine,https://repository.ou.edu/embed/uuid/2b1ebe85-dcaf-501e-8851-4cdea291056d,http://libraries.ou.edu/eresources/catalog?task=search&term=99145760102042,Book,Ibn Sina,1608
36,18975-1001,On the Sphere,,http://libraries.ou.edu/eresources/catalog?task=search&term=99240604902042,Book,Joannes de Sacro BoscoGeorg Peurbach,1490
37,1965018-1001,Galileo shows the satellites of Jupiter to the Venetian Senators,,http://libraries.ou.edu/eresources/catalog?task=search&term=99210908802042,Book,Louis Figuier,1870
38,1390813-1001,Subterranean World,https://repository.ou.edu/embed/uuid/c46a23ac-ed82-53f7-a9da-d25764b45862,http://libraries.ou.edu/eresources/catalog?task=search&term=99244732602042,Book,Athanasius Kircher,1665
39,1897453-1002,Tornadoes: What they are and how to observe them,https://repository.ou.edu/embed/uuid/45ca4cf6-abc8-548e-811c-6c650b653089,http://libraries.ou.edu/eresources/catalog?task=search&term=99108603202042,Book,John P. Finley,1887
40,1897453-1001,Tornadoes: What they are and how to observe them,https://repository.ou.edu/embed/uuid/45ca4cf6-abc8-548e-811c-6c650b653089,http://libraries.ou.edu/eresources/catalog?task=search&term=99108603202042,Book,John P. Finley,1887
41,599352-1001,Opticks,,http://libraries.ou.edu/eresources/catalog?task=search&term=99234924202042,Book,Isaac Newton,1704
42,18801-1001,Optics of Lenses,https://repository.ou.edu/embed/uuid/075d572d-a051-59c0-a0f6-efd4f554db72,http://libraries.ou.edu/eresources/catalog?task=search&term=9961722602042,Book,Johann Kepler,1611
43,18505-1001,"Phosphorescent Rock, or, On the Light of the Bolognese Stone",,http://libraries.ou.edu/eresources/catalog?task=search&term=99284585802042,Book,Fortunio Liceti,1640
44,13823-1001,Response to the Opposition of Lodovico delle Colombe,https://repository.ou.edu/embed/uuid/5cfff264-d9b6-5c5a-98b5-8d193a01f6ee,http://libraries.ou.edu/eresources/catalog?task=search&term=99278321702042,Book,GalileoBenedetto Castelli,1615
45,12021-1001,Secrets of Nature,,http://libraries.ou.edu/eresources/catalog?task=search&term=99222403702042,Book,Antonio van Leeuwenhoek,1695
46,520601-1001,On Meteorology,https://repository.ou.edu/embed/uuid/8102c8db-8d9a-5927-9f24-d4f90b604fd0,http://libraries.ou.edu/eresources/catalog?task=search&term=99267600102042,Book,RenÃ© Descartes,1637
47,10383-1001,On the Tornado,https://repository.ou.edu/embed/uuid/ae426e6b-55f8-568c-bef0-a337978076a6,http://libraries.ou.edu/eresources/catalog?task=search&term=9941523302042,Book,Ruder Boscovich,1749
48,18800-1001,"On the Snowflake, or the Six-Angled Crystal",https://repository.ou.edu/embed/uuid/d735dcea-437c-5023-8c21-db112524337c,http://libraries.ou.edu/eresources/catalog?task=search&term=9996450602042,Book,Johann Kepler,1611
49,595856-1001,"On the Revolutions of the Heavenly Spheres, 1617",,http://libraries.ou.edu/eresources/catalog?task=search&term=9984871302042,Book,Nicolaus Copernicus,1617
50,17281-1001,"On the Motion of Animals, 1685",,http://libraries.ou.edu/eresources/catalog?task=search&term=99297414002042,Book,Giovanni Borelli,1685
51,1041214-1001,"On the Fabric of the Human Body, 1545",,http://libraries.ou.edu/eresources/catalog?task=search&term=99300319202042,Book,Andreas Vesalius,1545
52,2029264-1001,On the Equations of the Relative Movement of Systems of Bodies,,http://libraries.ou.edu/eresources/catalog?task=search&term=99220905602042,Book,Gaspard-Gustave de Coriolis,1835
53,516738-1001,On Microscopy,,http://libraries.ou.edu/eresources/catalog?task=search&term=99312579502042,Book,Robert Hooke,1665
54,ALMA10005244,On Bees,https://repository.ou.edu/embed/uuid/52dc265f-d807-577c-a87f-cc2cc24336e4,http://libraries.ou.edu/eresources/catalog?task=search&term=99552997802042,Book,Francesco StellutiFedrigo Cesi,1625
55,1883191-1001,The Art of Gymnastics,https://repository.ou.edu/embed/uuid/359392c3-0d9c-5d8c-a1e3-a65831f331f1,http://libraries.ou.edu/eresources/catalog?task=search&term=99296770102042,Book,Girolamo Mercuriale,1577
56,10929-1001,The Atmosphere: Popular Meteorology,https://repository.ou.edu/embed/uuid/f52d6fab-cb31-5190-aea4-cf53de8a43b5,http://libraries.ou.edu/eresources/catalog?task=search&term=9958230402042,Book,Camille Flammarion,1888
57,2010455-1001,The Book of Meteorology,https://repository.ou.edu/embed/uuid/e58ab392-6b98-5fe6-b785-db6fb80072c0,http://libraries.ou.edu/eresources/catalog?task=search&term=99354905102042,Book,Paracelsus,1566
58,A10102422054,The Origin of Continents and Oceans,,http://libraries.ou.edu/eresources/catalog?task=search&term=99109293402042,Book,Alfred Wegener,1924
59,3120030-1001,Wonder Chambers of Nature,,http://libraries.ou.edu/eresources/catalog?task=search&term=99110069502042,Book,Levinus Vincent,1706-1715
60,2198379-1001,Treatise on the Genuine Use of the Globes,https://repository.ou.edu/embed/uuid/a368d7f9-1e3a-5646-a6c9-8e0e5e41e9aa,http://libraries.ou.edu/eresources/catalog?task=search&term=9955150302042,Book,Adriaan Metius,1624
61,513978-1001,Treatise on the Equilibrium of Fluids,https://repository.ou.edu/embed/uuid/f545fa90-aa76-59b6-b8d2-c047a2a84af8,http://libraries.ou.edu/eresources/catalog?task=search&term=99258293102042,Book,Blaise Pascal,1663
62,1955569-1001,Treatise on Painting,https://repository.ou.edu/embed/uuid/d20f1269-24dd-5afa-99bd-2abbb0495b9f,http://libraries.ou.edu/eresources/catalog?task=search&term=99217942502042,Book,Leonardo da Vinci,1716
63,11042-1001,Theater of the World,,http://libraries.ou.edu/eresources/catalog?task=search&term=99224859802042,Book,Giovanni Paolo Gallucci,1588
64,2450532-1001,The Rudolphine Tables,https://repository.ou.edu/embed/uuid/8659353c-4b0e-5d8b-84fe-5cb1213b28ff,http://libraries.ou.edu/eresources/catalog?task=search&term=9939049602042,Book,Johann Kepler,1627
65,1899456-1001,The Caterpillar Garden,,http://libraries.ou.edu/eresources/catalog?task=search&term=9982568002042,Book,Maria Sybilla Merian,1717
66,18358-1001,The New Micrographia,,http://libraries.ou.edu/eresources/catalog?task=search&term=99157185802042,Book,Johann Francisco Griendel,1687
67,468435-1001,The New Astronomy,https://repository.ou.edu/embed/uuid/e5327585-38fd-5dcd-8e69-966f9c3a2532,http://libraries.ou.edu/eresources/catalog?task=search&term=99350461502042,Book,Johann Kepler,1609
68,2147109-1001,The Generous Muse of the Heavens,https://repository.ou.edu/embed/uuid/18f3efd4-aa3d-5201-86ad-ae12aacca599,http://libraries.ou.edu/eresources/catalog?task=search&term=99202720202042,Book,Maria Cunitz,1650
69,8301-1001,The Elements of Euclid,,http://libraries.ou.edu/eresources/catalog?task=search&term=99346559402042,Book,,1847
70,442543-1001,The Courtier,,http://libraries.ou.edu/eresources/catalog?task=search&term=9916756202042,Book,Baldassarre Castiglione,1724
71,515943-1001,The Book on Air,,http://libraries.ou.edu/eresources/catalog?task=search&term=99100474802042,Book,Hero of Alexandria,1575
72,1931849-6001,Physical Demonstration of the Rotational Movement of the Earth,,http://libraries.ou.edu/eresources/catalog?task=search&term=99306346002042,Book,LÃ©on Foucault,1851
73,1880834-1001,"On the Sphere, 1511",,http://libraries.ou.edu/eresources/catalog?task=search&term=99153209402042,Book,Proclus,1511
74,16901-1001,On the Sphere of the Universe,https://repository.ou.edu/embed/uuid/9c34fef0-ee0e-5959-aa69-0bad91989384,http://libraries.ou.edu/eresources/catalog?task=search&term=99220626202042,Book,Abraham bar Hiyya,1546
75,2454899-5001,"Works in Greek, vol. 4",,http://libraries.ou.edu/eresources/catalog?task=search&term=99155041802042,Book,Aristotle,1495-1498
76,11687-1001,Principles of Philosophy,,http://libraries.ou.edu/eresources/catalog?task=search&term=99171091602042,Book,RenÃ© DÃ©scartes,1644
77,2199353-1001,The Divine Plato,,http://libraries.ou.edu/eresources/catalog?task=search&term=99268755502042,Book,Plato,1491
78,2454899-4001,"Works in Greek, vol 3 pt. A",,http://libraries.ou.edu/eresources/catalog?task=search&term=99155041802042,Book,Aristotle,1495-1498
79,2454899-3001,"Works in Greek, vol 3 pt. B",,http://libraries.ou.edu/eresources/catalog?task=search&term=99155041802042,Book,Aristotle,1495-1498
80,2454899-1001,"Works in Greek, vol. 1",,http://libraries.ou.edu/eresources/catalog?task=search&term=99155041802042,Book,Aristotle,1495-1498
81,2454899-2001,"Works in Greek, vol. 2",,http://libraries.ou.edu/eresources/catalog?task=search&term=99155041802042,Book,Aristotle,1495-1498
82,1948696-1001,On the Sizes and Distances of the Sun and Moon,https://repository.ou.edu/embed/uuid/228af81e-25d0-5e5c-ac1b-2f49e2df9c15,http://libraries.ou.edu/eresources/catalog?task=search&term=99331354402042,Book,Aristarchus of Samos,1572
83,9934-2001,On the Proper Motion of Fixed Stars,,http://libraries.ou.edu/eresources/catalog?task=search&term=99193107802042,Book,Wilhelm Bessel,
84,596875-1001,On the Magnet,,http://libraries.ou.edu/eresources/catalog?task=search&term=99332672902042,Book,William Gilbert,1600
85,12864-1001,On the Fixed Stars,https://repository.ou.edu/embed/uuid/a8c2ebd3-a2ce-54f8-b526-d3ac86be0804,http://libraries.ou.edu/eresources/catalog?task=search&term=9941767402042,Book,Alessandro Piccolomini,1540
86,523573-1001,On the New Star in the Foot of the Serpent Handler,https://repository.ou.edu/embed/uuid/63447f70-a0d0-5356-8c60-1888f0544b82,http://libraries.ou.edu/eresources/catalog?task=search&term=99321225902042,Book,Johann Kepler,1606
87,2454983-1001,"On the Revolutions of the Heavenly Spheres, 1566",,http://libraries.ou.edu/eresources/catalog?task=search&term=99152991902042,Book,Nicolaus Copernicus,1566
88,12530-1001,Theater of Comets,,http://libraries.ou.edu/eresources/catalog?task=search&term=99168176702042,Book,Stanislaw Lubieniecki,1666-68
89,12845-1001,"Works, Ptolemy",https://repository.ou.edu/embed/uuid/80af71d1-8942-5381-ac16-8b036e3447e0,http://libraries.ou.edu/eresources/catalog?task=search&term=99332404502042,Book,Ptolemy,1541
90,2412112-1001,An Account of a New Discovered Motion of the Fixâ€™d Stars,,http://libraries.ou.edu/eresources/catalog?task=search&term=99216440302042,Book,James Bradley,1729
91,16953-1001,Commentary on Al-Qabisi,,http://libraries.ou.edu/eresources/catalog?task=search&term=99279755202042,Book,Al-Qabisi,1512
92,20726-1001,Conversations on the Plurality of Worlds,,http://libraries.ou.edu/eresources/catalog?task=search&term=9994524502042,Book,Fontenelle,1728
93,17141-1001,"Cosmography, 1585",,http://libraries.ou.edu/eresources/catalog?task=search&term=99151468802042,Book,Francesco Barozzi,1585
94,507076-1001,"Mathematical Principles of Natural Philosophy, 1687",https://repository.ou.edu/embed/uuid/f6cafda0-8cb5-5518-b41f-48af16be5e14,http://libraries.ou.edu/eresources/catalog?task=search&term=99304893502042,Book,Isaac Newton,1687
95,1967685-1001,Newtonianism for Women,,http://libraries.ou.edu/eresources/catalog?task=search&term=99280831602042,Book,Francesco Algarotti,1737
96,2454899-6001,"Works in Greek, vol. 5",,http://libraries.ou.edu/eresources/catalog?task=search&term=99155041802042,Book,Aristotle,1495-1498
97,19187-1001,A Discovery of a New World... in the Moon,,http://libraries.ou.edu/eresources/catalog?task=search&term=99294648202042,Book,John Wilkins,1684
98,1946187-1001,"Essays on Natural Experiences, 1701",,http://libraries.ou.edu/eresources/catalog?task=search&term=99283316402042,Book,Accademia del Cimento,1701
99,10574-1001,"Flowers, or, On the Cultivation of Flower Gardens, 1638",,http://libraries.ou.edu/eresources/catalog?task=search&term=99134859602042,Book,Giovanni Battista Ferrari,1638
100,2451145-1001,Forecasts,https://repository.ou.edu/embed/uuid/f3242128-6111-50b7-b47b-7a7409f25dd0,http://libraries.ou.edu/eresources/catalog?task=search&term=99198942002042,Book,Paracelsus,1536
101,4211950-1001,Letters,,http://libraries.ou.edu/eresources/catalog?task=search&term=99180232802042,Book,Johann KeplerWilliam Schickard Matthias Bernegger,1672 & 1673
102,596747-1001,Meteorological Essays,https://repository.ou.edu/embed/uuid/1e8d1173-7c2b-5b8f-9f11-f346b9fdeedd,http://libraries.ou.edu/eresources/catalog?task=search&term=99188126302042,Book,John Dalton,1793
103,16891-1001,"Meteorology, 1506",,http://libraries.ou.edu/eresources/catalog?task=search&term=99368003702042,Book,Pierre Dâ€™Ailly,1506
104,17040-1001,"Meteorology, 1556",,http://libraries.ou.edu/eresources/catalog?task=search&term=99300686202042,Book,Aristotle,1556
105,19119-1001,Natural Questions,https://repository.ou.edu/embed/uuid/77cf1459-7bb4-5555-b518-b338360dd72a,http://libraries.ou.edu/eresources/catalog?task=search&term=99367862902042,Book,Seneca,1522
106,602443-1001,New Experiments,,http://libraries.ou.edu/eresources/catalog?task=search&term=99337523902042,Book,Otto von Guericke,1672
107,596567-1001,"New Experiments Physico-Mechanicall, Touching the Spring of the Air",https://repository.ou.edu/embed/uuid/942bcf18-1e20-53f1-9dfd-526a1444ec2c,http://libraries.ou.edu/eresources/catalog?task=search&term=99128929502042,Book,Robert Boyle,1660
108,3868804-1001,Admonition to Astronomers,https://repository.ou.edu/embed/uuid/0918f030-2c26-59f4-ba72-ba495545f6a7,http://libraries.ou.edu/eresources/catalog?task=search&term=99265075302042,Book,Johann KeplerJacob Bartsch,1630
109,505587-1001,"Essays on Natural Experiences, 1667",,http://libraries.ou.edu/eresources/catalog?task=search&term=9913516702042,Book,Accademia del Cimento,1667
110,2443415-1001,"Essays on Natural Experiences, 1666",https://repository.ou.edu/embed/uuid/6f725869-1459-5221-8326-18396945db79,http://libraries.ou.edu/eresources/catalog?task=search&term=99176074702042,Book,Accademia del Cimento,1666
111,17645-1001,A Prognostication Everlasting of Right Good Effect,https://repository.ou.edu/embed/uuid/8a974a11-d382-5b59-a156-b7cc85aef383,http://libraries.ou.edu/eresources/catalog?task=search&term=9996387602042,Book,Leonard Digges,1605
112,12850-1001,A Treatise on Muscular Action,,http://libraries.ou.edu/eresources/catalog?task=search&term=99122306502042,Book,John Pugh,1794
113,2402484-2001,Astronomical Journal,,http://libraries.ou.edu/eresources/catalog?task=search&term=99337456302042,Book,Tycho BraheElias Morsing,1586
114,4211968-1001,Considerations on Galileo's Discourse on Floating Bodies,,http://libraries.ou.edu/eresources/catalog?task=search&term=99171502402042,Book,Arturo Pannochieschi,1612
115,4175170-1001,Conversation on Galileoâ€™s Starry Messenger,https://repository.ou.edu/embed/uuid/eec8802e-59e0-51a6-a322-fa3404a50656,http://libraries.ou.edu/eresources/catalog?task=search&term=9944176802042,Book,Johann Kepler,1611
116,601248-1001,Curious Technology,https://repository.ou.edu/embed/uuid/20feed7c-0872-5e04-9efc-8cbe1727f456,http://libraries.ou.edu/eresources/catalog?task=search&term=99121680602042,Book,Gaspar Schott,1664
117,1787904-2001,Demonstration of the Halo,,http://libraries.ou.edu/eresources/catalog?task=search&term=9945084302042,Manuscript,Erasmus Reinhold,c. 1550
118,10941-1001,Discourse on Floating Bodies,https://repository.ou.edu/embed/uuid/52d083a7-d387-5a51-8aad-34e5a04dde70,http://libraries.ou.edu/eresources/catalog?task=search&term=99150480902042,Book,Galileo,1612
119,531071-1001,Defense Against the Calumnies and Impostures of Baldessar Capra!,https://repository.ou.edu/embed/uuid/15289049-8f84-5a7a-aaf5-017ef09e84f8,http://libraries.ou.edu/eresources/catalog?task=search&term=99116900402042,Hand Written Annotations,Galileo,1607
120,531071-2001,"Discourse on Two New Sciences, vol. 2",https://repository.ou.edu/embed/uuid/74fc15a9-edd2-54dd-bc74-d43a2b53d68b,http://libraries.ou.edu/eresources/catalog?task=search&term=99116900402042,Book,Galileo,1656
121,602338-1001,Dissection of the Head of a Shark,,http://libraries.ou.edu/eresources/catalog?task=search&term=99108352902042,Book,Niels Steno,1667
122,21028-1001,New Celestial and Terrestrial Observations,https://repository.ou.edu/embed/uuid/a4a20102-d325-5f83-8471-41b5a2c3df84,http://libraries.ou.edu/eresources/catalog?task=search&term=99186565202042,Book,Francesco Fontana,1646
123,21299-1001,Map of the Moon,https://repository.ou.edu/embed/uuid/cc8dd647-100f-5781-b75e-1b8a1776ff11,http://libraries.ou.edu/eresources/catalog?task=search&term=99225532702042,Book,Johann Hevelius,1647
124,320965-1001,"Workes, Chaucer",,http://libraries.ou.edu/eresources/catalog?task=search&term=9964833302042,Book,Chaucer,1598
125,4242108-1001,The Divine Comedy,,http://libraries.ou.edu/eresources/catalog?task=search&term=99136371002042,Book,Dante,1757
126,432658-1001,"New Philosophy, about our World beneath the Moon",https://repository.ou.edu/embed/uuid/62b7e8ad-2a9b-5b64-8582-83158c32119d,http://libraries.ou.edu/eresources/catalog?task=search&term=99331834002042,Book,William Gilbert,1651
127,1901468-1001,The Moon,,http://libraries.ou.edu/eresources/catalog?task=search&term=99132040202042,Book,James NasmythJames Carpenter,1876
128,14341-1001,The Optics of the Eye,,http://libraries.ou.edu/eresources/catalog?task=search&term=99252816502042,Book,ChÃ©rubin dâ€™ OrlÃ©ans,1671
129,2410173-1001,"Cosmography, 1574",,http://libraries.ou.edu/eresources/catalog?task=search&term=99163408602042,Book,Sebastian Munster,1574
130,564308-1001,On Animals,,http://libraries.ou.edu/eresources/catalog?task=search&term=9917415402042,Book,Aristotle,1476
131,466358-1001,Persius,https://repository.ou.edu/embed/uuid/01467f9a-b534-5029-85ff-cb077a1281db,http://libraries.ou.edu/eresources/catalog?task=search&term=99147131702042,Book,Francesco Stelluti,1630
132,600617-1001,"Pliny, â€œNatural Historyâ€ù",,http://libraries.ou.edu/eresources/catalog?task=search&term=99284110602042,Book,Pliny the Elder,1601
133,411986-1001,Second Folio,,http://libraries.ou.edu/eresources/catalog?task=search&term=99191717802042,Book,Shakespeare,1632
134,9536-3001,"Theory of the Earth, vol. 2",,http://libraries.ou.edu/eresources/catalog?task=search&term=99366886402042,Book,Thomas Burnet,1684
135,9536-1001,"Theory of the Earth, vol. 1",,http://libraries.ou.edu/eresources/catalog?task=search&term=99366886402042,Book,Thomas Burnet,1684
136,2635601-1001,Heights of Theology,,http://libraries.ou.edu/eresources/catalog?task=search&term=99330227902042,Book,Thomas Aquinas,1496
137,2652078-1001,Illustrations of the Bible,,http://libraries.ou.edu/eresources/catalog?task=search&term=99338926502042,Book,Gerard Hoet,1728
138,2649023-1001,King James Bible,,http://libraries.ou.edu/eresources/catalog?task=search&term=99293554602042,Book,,1611
139,599347-1001,Observations on the Prophecies of Daniel,,http://libraries.ou.edu/eresources/catalog?task=search&term=99219881502042,Book,Isaac Newton,1733
140,3319042-1001,On the Errors of the Trinity,,http://libraries.ou.edu/eresources/catalog?task=search&term=9983308502042,Manuscript,Michael Servetus,ca. 1700
141,324375-1001,Paradise Lost,,http://libraries.ou.edu/eresources/catalog?task=search&term=99358303002042,Book,John Milton,1674
142,18151-1001,Progress and the Hunterâ€™s Lamp of Logical Methods,,http://libraries.ou.edu/eresources/catalog?task=search&term=99334189502042,Book,Giordano Bruno,1587
143,435597-1001,The Chronology of Ancient Kingdoms Amended,,http://libraries.ou.edu/eresources/catalog?task=search&term=9948677502042,Book,Isaac Newton,1728
144,2552252-1001,The City of God,,http://libraries.ou.edu/eresources/catalog?task=search&term=99774002042,Book,Augustine,1489
145,1951641-1001,The Reformed Heaven,,http://libraries.ou.edu/eresources/catalog?task=search&term=99200882302042,Book,Giordano Bruno,1750
146,2435200-1001,Geneva Bible,,http://libraries.ou.edu/eresources/catalog?task=search&term=99356425902042,Book,,1560
147,13908-1001,"The Natural History of Plants, 1549",,http://libraries.ou.edu/eresources/catalog?task=search&term=99290837602042,Book,Theophrastus,1549
148,ALMA10005245,The Western and Eastern Parts of China divided into their Provinces,https://repository.ou.edu/embed/uuid/63384b09-d528-5031-8b85-3be90c4281fd,http://libraries.ou.edu/eresources/catalog?task=search&term=99552997702042,Map,Vincenzo Coronelli,1696
149,ALMA10008427,Wonderful Machines of the Far West,https://repository.ou.edu/embed/uuid/1d0d6461-a24e-50f6-9b29-955e4414cf2a,http://libraries.ou.edu/eresources/catalog?task=search&term=99554906502042,Book,Johann Schreck,1830
150,3502273-2001,An Astronomical Catechism,https://repository.ou.edu/embed/uuid/d4af5d1b-7e4d-5a58-aadd-e1b9fb0373ce,http://libraries.ou.edu/eresources/catalog?task=search&term=9917796402042,Book,Catherine Whitwell,1818
151,11166-1001,Astronomical Poem,https://repository.ou.edu/embed/uuid/084b8667-bda0-536f-8741-72d06342067a,http://libraries.ou.edu/eresources/catalog?task=search&term=99310530002042,Book,Hyginus,1485
152,598565-2001,Atlas of the Starry Heavens,https://repository.ou.edu/embed/uuid/268f04ec-b56f-55e4-a96b-17ace0f13c28,http://libraries.ou.edu/eresources/catalog?task=search&term=99210868902042,Book,Joseph J. von Littrow,1839
153,20314-1001,"Celestial Atlas, 1729",,http://libraries.ou.edu/eresources/catalog?task=search&term=99290019602042,Book,John Flamsteed,1729
154,ALMA10005404,Celestial Globe Gores,https://repository.ou.edu/embed/uuid/8f7fc7d5-2163-5ab7-9a42-2fda52fa9c6f,http://libraries.ou.edu/eresources/catalog?task=search&term=99552985002042,Book,Vincenzo Coronelli,1693; reprint ca. 1800
155,2463880-1001,Essays of the Members of the Academy of Gelati,https://repository.ou.edu/embed/uuid/996a8615-22d4-5c14-bd47-b502d8c51b40,http://libraries.ou.edu/eresources/catalog?task=search&term=9979636802042,Book,,1671
156,2443097-1001,"Introduction to Astronomy, 1489",https://repository.ou.edu/embed/uuid/96edb44e-69c6-573d-b8cb-fed138ad46ff,http://libraries.ou.edu/eresources/catalog?task=search&term=99299397302042,Book,Abu Ma'shar,1489
157,1798681-1001,Map of the Heavens,https://repository.ou.edu/embed/uuid/a60890c1-e10b-5334-9567-cd6ccb07ecb4,http://libraries.ou.edu/eresources/catalog?task=search&term=99190905302042,Book,Johann Bode,1801
158,17305-1001,Measuring the Heavens,,http://libraries.ou.edu/eresources/catalog?task=search&term=99201853202042,Book,Johann Bayer,1661
159,ALMA10005334,"The Kingdom of China, before now called Cathay and Mangin",https://repository.ou.edu/embed/uuid/be649240-e386-5285-9da2-115737e30899,http://libraries.ou.edu/eresources/catalog?task=search&term=99552986502042,Map,Giacomo Cantelli,1682
160,3331996-1001,On the Christian Expedition to China,https://repository.ou.edu/embed/uuid/d6121fe1-d591-5145-8024-74d0874076f4,http://libraries.ou.edu/eresources/catalog?task=search&term=99281380402042,Book,Matteo Ricci,1616
161,18056-1001,Universal Geography,https://repository.ou.edu/embed/uuid/d2fdb497-6d44-543e-8819-27cae292d697,http://libraries.ou.edu/eresources/catalog?task=search&term=99333179302042,Book,Claudius Ptolemy,1545
162,18774-3001,"A Description of the Plan of Peking, the Capital of China",https://repository.ou.edu/embed/uuid/c8fe2374-3886-579f-b502-cd84d35572dd,http://libraries.ou.edu/eresources/catalog?task=search&term=99224852402042,Book,Antoine Gaubil,1748
163,4338442-1001,Beijing: History and Description,https://repository.ou.edu/embed/uuid/4384805a-0d3d-5187-9198-4db730d96d47,http://libraries.ou.edu/eresources/catalog?task=search&term=99285343002042,Book,Pierre-Marie-Alphonse Favier,1897
164,18773-1001,"China, Illustrated with Many Monuments",https://repository.ou.edu/embed/uuid/b0e587f3-e579-5d1c-862f-cb76ac218aa8,http://libraries.ou.edu/eresources/catalog?task=search&term=99226124902042,Book,Athanasius Kircher,1670
165,484090-1001,"General History of China, vol. 1",https://repository.ou.edu/embed/uuid/13b793e9-122c-598c-b3cd-20034436fc44,http://libraries.ou.edu/eresources/catalog?task=search&term=99153941402042,Book,J.B. du Halde,1741
166,484090-4001,"General History of China, vol. 4",https://repository.ou.edu/embed/uuid/04f420ae-3154-53d1-9592-3234ca3c3673,http://libraries.ou.edu/eresources/catalog?task=search&term=99153941402042,Book,J.B. du Halde,1741
167,484090-3001,"General History of China, vol. 3",https://repository.ou.edu/embed/uuid/ee1881eb-23cc-5775-9d9a-1dcf600df4a7,http://libraries.ou.edu/eresources/catalog?task=search&term=99153941402042,Book,J.B. du Halde,1741
168,3265174-1001,Historical Narration of the Origin and Progress of the Mission to China,https://repository.ou.edu/embed/uuid/19dc2309-b958-5795-9a9d-aaec8ef755e4,http://libraries.ou.edu/eresources/catalog?task=search&term=99348522602042,Book,Adam Schall,1665
169,114662-1001,History of that Great and Renowned Monarchy of China,,http://libraries.ou.edu/eresources/catalog?task=search&term=99362534002042,Book,Alvaro Semedo,1655
170,11998-1001,Memoirs... made in a late Journey through the Empire of China,,http://libraries.ou.edu/eresources/catalog?task=search&term=99202361502042,Book,Louis le Comte,1698
