Total:,361,Issues,In progress,7,20,Digitz DL,Dgtz HoS,bagged,Isl,148,Digtz DL,Digtz HoS,Available,bagged,,Isl,,,,,148,Digitized DL,Dz HoS,Available,bagged,,,,Isl,,,,,,,,,,,,
Digitized,231,4,In QC,2,1 highlight,19,1,20,18,2 feature,103,14,4,96,,79,,,,,3 digital,74,3,31,50,,,,35,,,,,,,,,,,,
In Island,134,,Prepping,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en route,35,,Bagged,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digitized,Start date of digitiz'n,End date of QC,ready to script,ready to bag,Bagging date,Removed from NAS / fully replicated (date),To Islandora,"Loaded into Islandora, date",MMS ID,Location,File name,Tiffs (#),Tiffs (GB),"In digital
exhibit",Digital exhibit +/-,Pre-exhibit assessment,Repair needed pre-exhibit,Repair start date,Repair end date,Physical display,"Not accessible, date",Author,Year,Title,Place of publication,Oversized non-book work,Language,Keywords,Notes DL,DL server origin 2015,#images,Size (GB),Notes HOSC,Site,Gallery,Date of gallery opening,Date of gallery closing,Priority in exhibit,Batch,Notes KM,HOS gallery link
DL,,,,,done,,rsync0?,6/24/2015,9924874202042,UL-Bagit [file archive],Cassini_1666,17,4,3 Yes,,6/5/2015,,,,,,"Cassini, Giovanni",1666,Martis circa axem proprium revolubilis observationes Bononiae,Bologna,,Latin,,"""shot"" - Carilyn/HoS",,,6.05,,National Weather Center,,,8/31/2016,1,,,
DL,,done,8/7/2015,8/11/2015,8/14/2015,,hd9,8/21/2015,99278321702042,Bagit2,Castelli_Galileo_1615,354,108,2 Feature,,6/2/2015,,,,-,,"Castelli, Benedetto; Galilei, Galileo",1615,Risposta alle opposizioni del S. Lodovico delle Colombe...,Florence,,Italian,"Mathematics, Natural Philosophy, Physics","1/5  Tighter binding; 335 pages, pagination errors.  Castelli, a student of Galileo's, replied to a physicist who was attacking Galileo.",WS1,,108,ACM6198,National Weather Center,,,8/31/2016,1,,,
DL,8/3/2015,8/10/2015,8/19/2015,8/20/2015,8/20/2015,,hdx2,,9916756202042,Bagit2,Castiglione_1724,,,2 Feature,ADD,6/26/2015,,,,YES,,"Castiglione, Baldassarre",1724,The Courtier,London,,,,CANON. 470 images. 21 cm.,WS1,,,,Headington Hall,,10/15/2015,4/15/2016,,,,
,,,,,,,,,99331399502042,,,,,3 Yes,,6/18/2015,,,,YES,7/17/2015,"Cavalieri, Bonaventura",1632,"Lo specchio vstorio: overo, Trattato delle settioni coniche",Bologna,,,,,,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
DL,,3/1/2014,8/10/2015,8/11/2015,8/14/2015,,hd9,8/21/2015,99552997802042,Bagit2,Cesi_Stelluti_1625,7,4,2 Feature,,6/30/2015,,,,YES,,"Cesi, Federico; Francesco Stelluti",1625,Apiarium,Rome,YES,,Francesco Stelluti,broadsheet,WS1,,4.2,,Sam Noble Museum,Galileo and Microscopy,2/6/2016,6/1/2016,1,,,
DL,7/17/2015,7/29/2015,8/5/2015,8/11/2015,8/14/2015,,hd9,8/22/2015,9964833302042,Bagit2,Chaucer_1598,893,214,2 Feature,,6/9/2015,,,,YES,,Chaucer,1598,Workes,London,,,,HASSELBLAD. 460 images. 31 cm. ,WS1,,,Nichols: 821 C39ws,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,2'd,,,
HOS,,-,,,,,,,99305042702042,WS2|Prep and export,Clavius_1570,,,3 Yes,,6/15/2015,,,,YES,7/17/2015,"Clavius, Christoph",1570,In Sphaeram Ioannis de Sacro Bosco commentarius,Rome,,,,,,,,,History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,2',,,
,,,,,,,,,99105354802042,,Clusius_1605,,,2 Feature,,5/19/2015,,,,YES,7/9/2015,"Clusius, Carolus [Charles L'Ecluse]",1605,Exoticorum,Antwerp,,,,,,,,,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,,,
DL,7/22/2015,7/28/2015,8/5/2015,8/11/2015,8/14/2015,,hd9,8/22/2015,99191489502042,Bagit2,Colombo_1559,295,71,2 Feature,,5/28/2015,,,,YES,,"Colombo, Realdo",1559,De re anatomica,Venice,,,,HASSELBLAD. 170? 270? images. 32 cm.,WS1,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',,,
DL,,-,8/24/2015,,-,,,,99266891902042,WS2|Ready for script,Colonna_1592,183,44,3 Yes,,5/19/2015,,,,YES,7/9/2015,"Colonna, Fabio",1592,Phytobasanos,Naples,,Latin,,,Special,,47.6,,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,1,,,
,,,,,,,,,99357867702042,,,,,N,-,6/16/2015,,,,YES,7/17/2015,"Commandino, Frederico",1565,Liber de centro gravitatis solidorum,Bologna,,,,,,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
,,,,,,,,,99202361502042,,,,,3 Yes,ADD,6/8/2015,,,,YES,7/17/2015,"Comte, Louis le",1698,Memoirs... made in a late Journey through the Empire of China [second edition],London,,,,"CANON. [20], 517, [10] p., plates, port., fold, map, table. 20 cm. ",,,,"Memoirs and observations topographical, physical, mathematical, mechanical, natural, civil, ecclesiastical, made in a late journey through the empire of China : and published in several letters...translated from the Paris edition and illustrated with figures. 2nd ed. very much corrected with the addition of a map of China and a table..; 1698. o|Author",History of Science Collections,Galileo and China,8/1/2015,8/31/2016,2',,,
,,,,,,,,,99175340302042,,Confucius_1687,,,2 Feature,,6/8/2015,,,,YES,7/17/2015,Confucius,1687,Sinarum philosophus,Paris,,,,"HASSELBLAD. cxxiv, 108, 21, [1], 159, [1], xx, 108 [i.e. 110], [2], 8 p., 1 leaf of plates : ill., geneal. tables, maps, port. ; 34 cm. (fol.) Nichols or Bass",,565,113,,History of Science Collections,Galileo and China,8/1/2015,8/31/2016,2',,,
DL,,,,,done,,rsycn0?,6/24/2015,9944409702042,UL-Bagit [file archive],Copernicus_1543,476,15,1 Highlight,,6/15/2015,,,,YES,,"Copernicus, Nicolaus",1543,De revolvtionibvs orbium coelestium,Nuremberg,,,,,Special,,110,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,1,,,
,,,,,,,,,99152991902042,,,,,3 Yes,,5/15/2015,,,,YES,,"Copernicus, Nicolaus",1566,De revolutionibus orbium coelestium,Basel,,,,HASSELBLAD. 230 images. 30 cm.  Second edition,,,,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,2a,,,
,,,,,,,,,9984871302042,,,,,3 Yes,,7/2/2015,,,,,,"Copernicus, Nicolaus",1617,De revolutionibus orbium coelestium [third edition],Amsterdam,,,,3rd ed.,,,,,National Weather Center,,8/1/2015,8/31/2016,2',,,
,,,,,,,,,Cataloging needs PDF,,,,,3 Yes,ADD,6/2/2015,,,,,,"Coriolis, Gaspard-Gustave de",1835,"""Sur les Équations du Mouvement Relatif des Systèmes de Corps,"" in Journal de l’Ecole Royale Polytechnique (1835), Vol. 15, pages 144-154",Paris,,,,,,,,,,,,,,,,
DL,,,7/13/2015,7/13/2015,done,,hd5,8/4/2015,99350504802042,Bagit2,Coronelli_1693,662,52,2 Feature,,6/30/2015,,,,,,"Coronelli, Vincenzo",1693,Epitome cosmografica,Cologne,,,,"CANON. [44], 418, [2] p. incl. tables. fold. plates, fold. maps. 20 cm. ",,,,,,,1/21/2016,4/3/2016,2a,,,
DL,,done,8/7/2015,8/11/2015,8/14/2015,,hdx1,,99552985002042,Bagit2,Deuvez_Nolin_1693,18,2,3 Yes,,5/29/2015,,,,YES,,"Coronelli, Vincenzo",1693,Orbis caelestis typus [celestial globe gores],Paris,YES,,,"Cataloged from PDF 7/2015. Printed from plates in 1800 -- Arnoldus Deuvez, Jean Baptiste Nolin",TempWS,,2,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,1,,Once paid for,
DL,1/16/2015,1/22/2015,7/13/2015,7/13/2015,7/28/2015,,hd6,8/5/2015,99552997702042,Bagit2,Coronelli_1696,4,0,1 Highlight,,6/10/2015,,,,YES,7/17/2015,"Coronelli, Vincenzo",1696,Parte Occidentale della China [map],Venice,YES,,,Cataloged from PDF 7/2015. ,,,491,,History of Science Collections,Galileo and China,8/1/2015,8/31/2016,1,,,
,,,,,,,,,99130788002042,,Crescenzi_1471,,,2 Feature,,5/28/2015,,,,YES,7/9/2015,"Crescenzi, Pietro de'",1471,Ruralium commodorum,Augsburg,,,,HASSELBLAD.,,,,,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c',B2,,
DL,,,8/19/2015,8/21/2015,8/21/2015,,hdx2,,99202720202042,Bagit2,Cunitz_1650,622,149,2 Feature,,6/5/2015,,,,,,"Cunitz, Maria",1650,Urania propitia,Oels,,"Latin, German",,,Special,,171,,National Weather Center,,,8/31/2016,1,,,
,,,,,,,,,,,,,,3 Yes,ADD,,,,,NO,,"Cuvier, Georges; Alexandre Brongniart",1810,Essai sur la geographie mineralogique des environs de Paris,Paris,QUARTZ? Quarto - digitize 3 additional versions of Paris basins map,,,,,,,,,,,,,,,
DL,,7/1/2014,,,done,,rsync0?,6/24/2015,99352004602042,UL-Bagit [file archive],DaVinci_1651,236,57,2 Feature,,5/13/2015,,,,YES,,"da Vinci, Leonardo",1651,Trattato della pittura,[Paris?],,,,230 pp,,,,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,2b,,,
DL,,done,,,,,,,99217942502042,WS|HoS|Ready to export,DaVinci_1716,521,125,3 Yes,,,,,,NO,,"da Vinci, Leonardo",1716,Traite de la peinture,Paris,,,,CANON. 2nd ed.,WS1,,,,,,1/21/2016,4/3/2016,2b,,,
DL,,,7/13/2015,7/13/2015,done,,hd4,7/30/2015,99188126302042,Bagit2,Dalton_1793,233,20,2 Feature,,6/2/2015,,,,,,"Dalton, John",1793,Meteorological Essays,London,,,,"CANON. xvi, 208 p. diagrs. 22 cm. ",,235,47,table of gas partial pressures                                                                       Early atomic theory and atmospheric science,National Weather Center,,,8/31/2016,2',,,
HOS?,,,,,,,,,99136371002042,HoSC|Aperture ?,,,,2 Feature,,6/26/2015,,,,YES,,Dante,1757-1759,Divine Comedy (to be digitized by HOS),Venice,,,,"KABIS or HASSELBLAD. 5 v. in 4 : ill., geneal. table ; 28 cm.  Nichols: PQ 4302 .D57 1757",,,,[HOS],History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,1,,,
,,,,,,,,,9986419402042,,,,,3 Yes,,6/15/2015,,,,YES,7/23/2015,"Danti, Ignazio",1578,"Primo volume dell'vso et fabbrica dell'astrolabio, et de planisferio",Florence,,,,CANON. 340 images. 23 cm.,,,,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,2'd,,,
HOS,,,,,,,,,99304173302042,HoSC|Aperture lib,,,,N,SUBTRACT,,,,,-,,"Darwin, Charles",1838-1843,The Zoology of the Voyage of the Beagle (3 vols),London,,,,,,,7.5,"Alma numbers: 3114837-1001 , 3114837-2001 , 3114837-3001 [Melissa Rickman 6/2015]",,,8/1/2015,,1,,3 vols.,
,,,,,,,,,99157732802042,,,,,3 Yes,ADD,7/1/2015,,,,,,"Shelley, Percy Bysshe",1876-1877,Poetical Works (4 volumes),London,,,,,,,,,,,,,,,,
DL,,,,,done,,rsync1,7/2/2015,9990486402042,UL-Bagit [file archive],Sirigatti_1596,150,41,3 Yes,,5/15/2015,,,,YES,,"Sirigatti, Lorenzo",1596,La pratica di prospettiva,Venice,,Italian,"Architecture, Perspective",About 75 pages; 65 pages of engraved plates. 40 cm. Folded-in edges of title-page engraved plate. Also need a set of under-10MB TIFFs for the HoS digital collections.,,,43,ocm61203373,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,1,,,
,,,,,,,,,,,,,,N,SUBTRACT,,,,,-,,"Darwin, Charles; Robert Fitzroy",1839,"Journal of Researches, vol. 3",London,,,,"CANON? xiv, 615 p. fold. maps. 24 cm. ",,630,126,HOS?,,,,,1,,,
,,,,,,,,,9922010002042,,,,,3 Yes,ADD,5/19/2015,,,,YES,7/9/2015,"Darwin, Erasmus",1790,The Botanic Garden,Dublin,,,,octavol,,,,,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,,,
DL,,,7/13/2015,7/13/2015,done,,hd5,8/4/2015,99267600102042,Bagit2,Descartes_1637,539,52,2 Feature,,6/1/2015,,,,,,"Descartes, René",1637,"Les météores, in Discours de la méthode pour bien conduire sa raison",Leyden,,,,"CANON. 78 p., 1 l., 413, [34] p. illus., diagrs. 21 cm. With appendices incl. Les Météores",,535,107,,National Weather Center,,,8/31/2016,2',,,http://hos.ou.edu/galleries/17thCentury/Descartes/1637/
DL,6/23/2015,7/15/2015,7/27/2015,8/2/2015,7/31/2015,,hd7,8/17/2015,99171091602042,Bagit2,Descartes_1644,394,95,2 Feature,,6/16/2015,,,,YES,7/17/2015,"Descartes, René",1644,Principia philosophia,Amsterdam,,,,"CANON. 12 p. l., 310 p. illus., diagrs. 21 cm. DL previously digitized selections. ",WS1,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',B3,,
DL,,,7/13/2015,7/13/2015,done,,hd4,7/28/2015,9937936802042,Bagit2,Descartes_1662,194,14,2 Feature,,5/5/2015,,,,YES,,"Descartes, René",1662,De homine,[Lugduni Batavorum],,,,CANON. 1st Latin ed.,,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',B1,,
DL,7/23/2015,7/28/2015,,,,,,,99290902802042,WS2|Prep and export,Descartes_1677,,,3 Yes,,6/30/2015,,,,YES,,"Descartes, René",1677,"L'homme de René Descartes, et la formation du foetus",Paris,,,,CANON. 610 images. 26 cm. 2d French ed.,WS1,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',,,
DL,,,,,done,,hd3,7/18/2015,9996387602042,Bagit1,Digges_1605,127,30,2 Feature,,6/2/2015,,,,,,"Digges, Leonard; Thomas Digges",1605,A Prognostication euerlasting of right good effect...; Lately corrected and augmented by Thomas Digges his sonne,London,,English,"Mathematics, Astronomy, Cosmology, Astrology, Meteorology, Thomas Digges",2/5  Delicate foldout plates; small book; numbered & unnumbered pages. First defense of Copernicus in English. An astro-meteorology.,Special,,28.2,AEJ3551 ocm09178191,National Weather Center,,,8/31/2016,1,,,
,,,,,,,,,99262296102042,,Dou_1659,,,2 Feature,ADD,-,,,,NO,,"Dou, Guifang",1659,Shinkan Kotei meido kyukyo,Japan,,,,HASSELBLAD. 120 images. 27 cm. 3 volumes in 1.,,,,"This is The Yellow Emperor’s Canon of Moxibustion, a classic treatise on acupuncture. It describes acupuncture treatments for a variety of conditions, with 36 depictions of acupuncture points for both adults and children.  This copy was printed in 1659 in Japan.",,,,,3,,,
DL,4/6/2015,6/12/2015,7/14/2015,,done,,hd5,8/5/2015,99153941402042,Bagit2,"DuHalde_1741_v1, DuHalde_1741_v2, DuHalde_1741_v3, DuHalde_1741_v4",2112,141,2 Feature,,4/27/2015,Vol 1; Vol 2,7/31; 7/14,8/5; ?,YES,8/5; 7/17/2015,"Du Halde, Jean-Baptiste; Richard Brookes",1741,General History of China (4 volumes),London,,,,"CANON. Approx 2400 images!! 4 vols. fronts., plates (part fold.) ports., fold. maps. 20 cm. NICHOLS.",,,,"Local note: Nichols Coll., v. 1-4. 951 D88dE3  Portraits found in perhaps the high 70's of 3rd volume? Portraits: Xu Guangqi (bottom left) and Candida Xu (bottom right), along with three Jesuits (Ricci, Schall, and Verbiest – top row)             ",History of Science Collections,Galileo and China,8/1/2015,8/31/2016,2',B1,,
DL,,done,8/7/2015,8/12/2015,8/14/2015,,hd9,8/22/2015,99121318802042,Bagit2,Durer_1535,326,89,2 Feature,,5/15/2015,,,,YES,,"Dürer, Albrecht",1535,Institutionum geometricarum,Paris,,Latin,,HASSELBLAD. 33 cm. Page count? Woodcuts,WS1,,,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,1,,,
,,,,,,,,,9970731002042,,,,,3 Yes,ADD,5/28/2015,,,,YES,7/9/2015,"Sloane, Hans",1707-1725,"A Voyage to the Islands Madera, Barbados, Nieves, S. Christophers and Jamaica (2 volumes)",London,,,,2 vols.,,,,,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,,,
,,,,,,,,,,,,,,N,SUBTRACT,,,,,-,,"Smith, William",1815,A Memoir to the Map and Delineation of the Strata of England and Wales,London,,,,QUARTZ. ,Special,,,,,,,,2c,,,
DL,-,,8/19/2015,,,,,,99107925202042,WS2|Ready for script,Stelluti_1637,57,17,2 Feature,,5/18/2015,,,,YES,7/9/2015,"Stelluti, Francesco; Federigo Cesi",1637,Trattato del legno fossile minerale nuovamente,Rome,,Italian,Federico Cesi,,Special,,17,AEM1446,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,1,,,
DL,,,,,done,,hd4,7/29/2015,9932446402042,Bagit2,Stelluti_1622,100,6,2 Feature,,,,,,YES,7/15/2015,"Stelluti, Giovanni Battista",1622,Scandaglio sopra La Libra Astronomica,Terni,,Latin,"Mathematics, Astronomy, Natural Philosophy, Jesuits, Comets","CANON. [4], 86, [2] p. : ill. ; 21 cm. ",,102,20.4,,History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,2',,1/5 Acquired spring 2013.,
DL,7/22/2015,7/27/2015,7/30/2015,8/3/2015,done,,hd8,8/13/2015,99234862602042,Bagit2,Estienne_1545,439,105,2 Feature,,5/11/2015,,,,YES,,"Estienne, Charles",1545,De dissectione partium corporis humani,Paris,,,,"HASSELBLAD. 380 pages, 35 cm",,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',B2,,
DL,,,,,done,,hd3,7/18/2015,99125723502042,Bagit1,Euclid_1482,287,69,1 Highlight,,6/19/2015,,,,YES,7/17/2015,Euclid,1482,Preclarissimus liber elementorum Euclidis... [Elements of Geometry],Venice,,Latin,"Mathematics, Geometry",,Special,,91.8,AEJ9545,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
,,,,,,,,,99269926402042,,,,,3 Yes,,6/19/2015,,,,YES,7/17/2015,Euclid; Christoph Clavius,1589,Euclidis Elementorum (2 volumes),Rome,,,,"CANON. 18 cm. (8vo). 2 vols. Vol. 1: [16], 918, [98] p. Vol. 2: 959, [1] p.",,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
DL,,7/1/2014,7/29/2015,8/4/2015,7/31/2015,,hd7,8/18/2015,99191512502042,Bagit2,Euclid_1570,1246,299,2 Feature,,5/4/2015,,,,YES,,Euclid; Henry Billingsley,1570,The elements of geometrie of the most auncient philosopher Evclide of Megara... [Elements of Geometry],London,,English,"Mathematics, Geometry, Sir Henry Billingsley, John Dee, Fran?ois de Foix Candale",HASSELBLAD. 490 pages. 31 cm. DL has done selections and Book 11.,WS1,490,98,ACH8352,Fred Jones Jr. Museum of Art,,8/1/2015,8/31/2016,2',B1,,
DL,,,7/12/2015,7/13/2015,done,,hd6,8/6/2015,99129473602042,Bagit2,Euclid_1594,463,95,1 Highlight,,5/6/2015,,,,YES,7/17/2015,Euclid; Nasir ad-Din al-Tusi,1594,Kitāb taḥrīr uṣūl l­-Ūqlīdus [Elements of Geometry],Rome,,Arabic,,"HASSELBLAD. 6799 px H. 34 cm. About 460 pages. 453, [1] p. : ill. ; 34 cm. (fol.) ",WS1,460,92,AEM0351,History of Science Collections,New Physics,8/1/2015,8/31/2016,1,B1,Nasr ad-Din al-Tusi was one of the most important medieval Islamic astronomers and mathematicians.,
DL,,,,,done,,rsync2,7/28/2015,99346559402042,UL-Bagit [file archive],Byrne_1847,313,72,2 Feature,ADD,,,,,NO,,Euclid; Oliver Byrne,1847,The First Six Books of Euclid in which Colored Diagrams and Symbols are used instead of Letters for the greater ease of Learners,London,,English,"Euclid, Elements",Math teachers will LOVE high res version of this!,,,,ACH9161,,,8/1/2015,1/17/2016,2d',,,
DL,7/27/2015,7/28/2015,,,,,,,99153324602042,WS2|Prep and export,Eustachi_1716,,,3 Yes,,5/28/2015,,,,YES,,"Eustachi, Bartolomeo",1716,Tabulae anatomicae,Geneva,,,,HASSELBLAD. 130 images. 41 cm.,WS1,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',B3,,
DL,,7/1/2014,done,8/21/2015,8/22/2015,,hdx2,,99285343002042,Bagit2,Favier_1897,793,56,3 Yes,,6/8/2015,,,,YES,7/17/2015,"Favier, Pierre-Marie-Alphonse",1897,Peking: Histoire et Description,Beijing,,,,805 pp,WS1,,56.2,,History of Science Collections,Galileo and China,8/1/2015,8/31/2016,1,,Imprimerie des Lazaristes au Pe-Tang,
DL,,,8/12/2015,8/20/2015,8/21/2015,,hdx2,,99280589602042,Bagit2,Ferguson_1809,630,151,3 Yes,,5/8/2015,,,,YES,,"Ferguson, James",1809,Astronomy explained upon Sir Isaac Newton's Principles,London,,,,"CANON. 3984 px H. xii, 523 [1] p. fold. front., XVII fold. pl. (incl. map) tables. 22 cm.",WS1,,,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,2'd,B1,,
,,,,,,,,,99134859602042,,,,,3 Yes,,6/30/2015,,,,YES,7/9/2015,"Ferrari, Giovanni Battista",1638,"Flora; overo, Cultura di fiori",Rome,,Italian,,,,,,,Sam Noble Museum,Galileo and Microscopy,2/6/2016,6/1/2016,2c,B2,,
,,,,,,,,,99158646102042,,,,,3 Yes,,5/19/2015,,,,YES,7/9/2015,"Ferrari, Giovanni Battista",1664,"Flora, seu, De florum cultura",Amsterdam,,Latin,,,,,,,Sam Noble Museum,"Galileo, Natural History and the Americas; Galileo and Microscopy",8/1/2015,1/17/2016,2c,B2,,
,,,,,,,,,99210908802042,,,,,3 Yes,ADD,-,,,,NO,,"Figuier, Louis",1870,Vies des savants illustres,Paris,,,,CANON. 24 cm. 5 volumes.,,,,,,,,,,,,
DL,,,7/13/2015,7/13/2015,done,,hd6,8/6/2015,99108603202042,Bagit2,Finley_1887,221,17,2 Feature,,5/20/2015,,,,,,"Finley, John",1887,Tornadoes; What they are and how to observe them,New York,,,,"CANON. 4441 px H. [2], 196, [6] p., [2] leaves of folded plates : ill., maps ; 20 cm. Inscription by Edwin Kessler.",WS1,220,44,HOS?,National Weather Center,,,8/31/2016,2',,,2nd?
DL,4/28/2015,7/17/2015,8/21/2015,,,,,,9958230402042,WS2|Ready for script,Flammarion_1888,864,207,3 Yes,,4/28/2015,,,,,,"Flammarion, Camille",1888,L’Atmosphere: Météorologie Populaire,Paris,,,,"HASSELBLAD. 2 p. l., 808 p. incl., illus., tables, diagrs., col., front., 14 col. pl., 2 charts. 29 cm. ",WS1,820,164,"Boldly explore figure, p. 163",National Weather Center,,,8/31/2016,2',B2,,http://ouhos.org/2013/10/29/boldly-explore/
DL,4/2/2015,7/9/2015,8/5/2015,8/11/2015,8/17/2015,,hdx0,,99202633402042,Bagit2,Flamsteed_1729,75,76,3 Yes,,5/5/2015,,,,YES,,"Flamsteed, John",1729,Atlas coelestis,London,,,,QUARTZ. UNcataloged?,Quartz HD,,,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,1,B1,,http://www.lindahall.org/events_exhib/exhibit/exhibits/stars/fla.htm
,,,,,,,,,9923123302042,,Flamsteed_1776,,,3 Yes,,5/4/2015,,,,,,"Flamsteed, John; J. Fortin",1776,Atlas celeste,Paris,,,,"CANON. 2d ed., J. Fortin. viii, 40 p. 30 double maps. 23 cm. ",,,,,,,1/21/2016,4/3/2016,2a,B1,,
DL,3/1/2014,5/1/2014,,,done,,rsync0?,6/25/2015,9987624902042,UL-Bagit [file archive],Fludd_1633,97,23,N,SUBTRACT,,,,,-,,"Fludd, Robert",1633,Clavis philosophiae,,,,,87 pp,,,,,,,,,,Final1,,
DL,,7/1/2014,,,done,,rsycn0?,6/26/2015,99249486302042,UL-Bagit [file archive],Fludd_1617,1084,260,1 Highlight,,6/9/2015,,,,YES,,"Fludd, Robert",1617-1621,Utriusque cosmi maioris scilicet et minoris metaphysica,Oppenheim,,,,800 pp,,,235,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,1,,,
DL,,,8/24/2015,,,,,,99186565202042,WS2|Ready for script,Fontana_1646,173,51,3 Yes,,5/13/2015,,,,YES,,"Fontana, Francesco",1646,Novae coelestium terrestriumque rerum observationes,Naples,,Latin,"Astronomy, Telescopes, Microscopes",,Special,,52,AET5620,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,1,,,
HOS,,-,8/25/2015,,,,,,9994524502042,WS2|Ready for script,Fontenelle_1728,,,2 Feature,,5/22/2015,,,,YES,7/17/2015,"Fontenelle, M. de",1728,A Week's Conversation on the Plurality of Worlds [Entretiens sur la pluralite des mondes],,,,,,,,2.39,,History of Science Collections,New Physics,8/1/2015,8/31/2016,1,,English translation,
DL,7/2/2015,,7/29/2015,8/5/2015,done,,hd8,8/13/2015,99129017202042,Bagit2,Galileo_1635_Sys,573,138,3 Yes,,-,,,,NO,,"Foscarini, Paolo Antonio",1635,"""Epistola circa Pythagoricorum, & Copernici opinionem de mobilitate terrae, et stabilitate solis..."" in Galileo 1635 Systema cosmicum",Strasburg,,,,HASSELBLAD. 540 images. 20 x 17 cm.,,535,107,"""images not yet uploaded to server [?]""",,,,,2,,,
,,,,,,,,,Cataloging needs PDF,,Foucault_1851,,,2 Feature,ADD,6/19/2015,,,,YES,7/17/2015,"Foucault, Léon",1851,"""Démonstration Physique du Mouvement de la Rotation de la Terre,"" in Comptes Rendus (1851), pages 135ff",Paris,,,,,,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
,,,,,,,,,99290281102042,,Frost_1923,,,2 Feature,ADD,7/1/2015,,,,,,"Frost, Robert",1923,The Star-Splitter,London,,,,CANON likely. Nichols? Need more info to find in catalog.,,,,,,,,,,,,
HOS,,-,8/19/2015,8/20/2015,8/20/2015,,hdx2,,9968587202042,Bagit2,Fuchs 1542,,,2 Feature,,5/19/2015,,,,YES,7/9/2015,"Fuchs, Leonhart",1542,De historia stirpium commentarii insignes,Basel,,,,,,,17.8,,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,1,,,
,,,,,,,,,9949010202042,,,,,3 Yes,,5/19/2015,,,,YES,7/9/2015,"Fuchs, Leonhart",1551,De historia stirpium,[Lugduni],,,,CANON. ,,,,,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,,,
DL,,,,,done,,hd1,7/10/2015,99216987002042,Bagit1,Galileo_1606,76,18,1 Highlight,,6/15/2015,,,,YES,7/17/2015,"Galilei, Galileo",1606,"Le operazioni del compasso geometrico, et militare",Padua,,Italian,,"Bound with Difesa, 1607",Special,,18.2,,History of Science Collections,"Galileo, Engineer",8/1/2015,8/31/2016,1,,,
DL,,,,,done,,hd1,7/10/2015,99216987002042,Bagit1,Galileo_1607,93,22,2 Feature,,6/15/2015,,,,YES,7/17/2015,"Galilei, Galileo",1607,Difesa di Galileo Galilei Lettore delle matematiche nello studio di Padoua contro alle calunnie & imposture di Baldessar Capra Milanese,Venice,,Italian,,"Bound with Le operazioni, 1606",Special,,24.6,,History of Science Collections,"Galileo, Engineer",8/1/2015,8/31/2016,1,,,
DL,,,,,done,,hdx3,,99136364202042,Bagit1,Galileo_1610,36,9,2 Feature,ADD,6/1/2015,,,,YES,7/17/2015,"Galilei, Galileo",1610,Sidereus nuncius,Venice,,,,,Special,,,,History of Science Collections; Fred Jones Jr Museum of Art,,8/1/2015,8/31/2016,,,,
