Total:,361,Issues,In progress,7,20,Digitz DL,Dgtz HoS,bagged,Isl,148,Digtz DL,Digtz HoS,Available,bagged,,Isl,,,,,148,Digitized DL,Dz HoS,Available,bagged,,,,Isl,,,,,,,,,,,,
Digitized,231,4,In QC,2,1 highlight,19,1,20,18,2 feature,103,14,4,96,,79,,,,,3 digital,74,3,31,50,,,,35,,,,,,,,,,,,
In Island,134,,Prepping,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en route,35,,Bagged,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digitized,Start date of digitiz'n,End date of QC,ready to script,ready to bag,Bagging date,Removed from NAS / fully replicated (date),To Islandora,"Loaded into Islandora, date",MMS ID,Location,File name,Tiffs (#),Tiffs (GB),"In digital
exhibit",Digital exhibit +/-,Pre-exhibit assessment,Repair needed pre-exhibit,Repair start date,Repair end date,Physical display,"Not accessible, date",Author,Year,Title,Place of publication,Oversized non-book work,Language,Keywords,Notes DL,DL server origin 2015,#images,Size (GB),Notes HOSC,Site,Gallery,Date of gallery opening,Date of gallery closing,Priority in exhibit,Batch,Notes KM,HOS gallery link
DL,8/17/2015,8/26/2015,,,,,,,9993050002042,WS|HoS,Alberti_1568,,,3 Yes,,5/15/2015,,,,YES,,"Alberti, Leon Battista",1568,Opuscoli morali,Venice,,,,CANON. 450 images. 23 cm.,,,,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,2b,B3,,
DL,,done,,,done,,rsync0?,6/23/2015,99215707202042,UL-Bagit [file archive],Aldrovandi_1640,478,115,2 Feature,,5/19/2015,,,,YES,7/9/2015,"Aldrovandi, Ulysses",1640,Serpentarvm et draconvm historiae,Bologna,,,,,,,121,,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,,,
,,,,,,,,,99280831602042,,,,,3 Yes,,6/16/2015,,,,YES,7/17/2015,"Algarotti, Francesco",1737,Il Newtonianismo per le Dame,Naples,,,,,,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
HOS,,done,8/10/2015,8/12/2015,8/14/2015,,hd9,8/24/2015,9978366402042,Bagit2,Apian_1545,,,1 Highlight,,6/9/2015,,,,YES,,"Apian, Peter",1545,Cosmographia,Antwerp,,,,,HoS Aperture,,1.96,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,2'd,,,
,,,,,,,,,99239923302042,,,,,N,-,6/18/2015,,,,YES,7/17/2015,Apollonius,1710,Conicorum [Conics],Oxford,,,,,,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
,,,,,,,,,99330227902042,,Aquinas_1496,,,2 Feature,,-,,,,NO,,"Aquinas, Thomas",1496,Summa theologiae,Nuremberg,,,,HASSELBLAD. 395 images. 32 cm.,,400,80,Bizzell Bible Collection,,,,,2,,,http://hos.ou.edu/galleries/Bizzell%20Bible%20Collection/Aquinas/1496/
DL,8/14/2015,8/19/2015,,,,,,,99124031002042,WS|HoS|Ready to export,Aratus_1547,,,3 Yes,ADD,6/30/2015,,,,,,Proclus [Aratus],1547,De sphaera liber,Basel,,,,"CANON. 620 images, 16 cm. [1547 Basel was in #3 list]",,,,,,,,,2a,,,
DL,,,7/13/2015,7/13/2015,done,,hd4,7/28/2015,99309900202042,Bagit2,Archimedes_1543,84,5,2 Feature,,5/20/2015,,,,YES,7/17/2015,Archimedes,1543,Opera,Venice,,Latin,,CANON.,,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
,,,,,,,,,,,,,,N,-,6/18/2015,,,,YES?,,Archimedes,1792,Quae supersunt omnia,Oxford,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,N,-,6/18/2015,,,,-,,Archimedes; Federico Commandino,1565,De iis quae vehuntur in aqua libri duo,Bologna,,,,,,,,,,,,,,,,
DL,6/26/2015,7/15/2015,,,done,,hd5,8/2/2015,996861502042,Bagit2,Ariosto_1672,547,29,3 Yes,ADD,,,,,YES,7/9/2015,"Ariosto, Lodovico",1672,Orlando furioso,Venice,,,,654 p. ; 26 cm.,,,,"In this epic by Ariosto (1474-1533), Orlando flies to the moon in Elijah's flaming chariot.  Our edition, published in Venice in 1672, contains numerous woodcuts.–J",Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,,,
DL,,,8/19/2015,8/20/2015,8/20/2015,,hdx2,,99331354402042,Bagit2,Aristarchus_1572,93,23,2 Feature,,5/22/2015,,,,YES,7/17/2015,Aristarchus of Samos,1572,"De magnitudinibus, et distantiis solis, et lunae, liber",Pesaro,,Latin,"Astronomy, mathematics, Federico Commandino, Pappus of Alexandria",,Special,,,HOS,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
On hold,7/6/2015,,,,,,,,9917415402042,WS|HoS|Paused,Aristotle_1476,,,2 Feature,,5/19/2015,,,,YES,7/9/2015,Aristotle,1476,De animalibus,Venice,,,,HASSELBLAD. 260 images. 33 cm. ,,,,,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,,,
DL,7/20/2015,7/24/2015,7/30/2015,8/1/2015,done,,hd8,8/12/2015,99281860102042,Bagit2,Aristotle_1788,375,27,2 Feature,,5/5/2015,,,,YES,,Aristotle,1788,The works of Aristotle [Aristotle’s Masterpiece],Edinburgh,,,,CANON. 380 images. 18 cm,,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',B3,,
,,,,,,,,,99155041802042,,Aristotle_149x,,,2 Feature,ADD,6/19/2015,,,,YES,7/17/2015,Aristotle; Aldo Manuzio; Scipione Forteguerri,1495-1498,Eis Organon Aristotelous: Anōnymon [Opera graece] (5 volumes),Venice,,,,5 v. in 6 : ill. ; 33 cm. ed. Aldo Manuzio,,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
,,,,,,,,,,,,,,N,SUBTRACT,5/20/2015,,,,?,,"Aspin, Jehoshaphat",1825,A familiar treatise on astronomy [accompanies 'Urania's mirror' cards],London,,,,,,,,,,,,,2a,B3,,
DL,,6/1/2014,,,done,,,,99320747002042,UL-Bagit [file archive],Aspin_1825,,,N,SUBTRACT,5/15/2015,,,,YES,,"Aspin, Jehoshaphat",1825,Urania's Mirror [accompanies 'A familiar treatise on astronomy'],London,,,,32 cards,,,8.73,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,1,,,
DL,6/23/2015,7/9/2015,7/13/2015,7/13/2015,done,,hd5,8/3/2015,99774002042,Bagit2,Augustine_1489,539,123,2 Feature,,6/26/2015,,,,YES,7/17/2015,Augustine,1489,De civitate Dei,Venice,,,,HASSELBLAD. [264] leaves : 1 ill. (woodcut) ; 31 cm. (fol.),,275,55,"Bizzell Bible Collection, open to frontispiece        frontispiece not yet uploaded to server",History of Science Collections,Galileo Affair,8/1/2015,8/31/2016,2',,,http://hos.ou.edu/galleries/Bizzell%20Bible%20Collection/Augustine/1489/
DL,,7/1/2014,,,done,,rsync0?,6/28/2015,99360838102042,UL-Bagit [file archive],"Avicenna_1608, Avicenna_1608_v2",1814,435,2 Feature,,5/29/2015,,,,YES,,Avicenna,1608,Arabum medicorum principis,Venice,,Latin,"Gherardo da Cremona, Andrea Alpago, Giovanni Costeo, Joannes Paulus Mongius, al-Jusjani Abd al-Wahid ibn Muhammad, Niccolò Massa, Favius Paulinus, Fabritio Raspano, Arnaldus de Villanova, Armegandus Blasii",vol.1 - 980 pp & vol.2 - 900 pp,,,,ACL6054,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',,,
DL,,done,,,,,,,9988344402042,WS|HoS|Ready to export,Bacon_1614_Per,231,55,N,SUBTRACT,,,,,-,,"Bacon, Roger",1614,Perspectiva [bound with Specula mathematica (Frankfurt 1614)],Frankfurt,,,,"CANON. [8], 189 [i.e. 207] p., |b diagrs., tables. ; |c 21 cm.",WS1,,,,,,,,2b,,,
HOS,,-,8/24/2015,,,,,,99173228002042,WS2|Ready for script,Baldi_1592,,,2 Feature,,5/22/2015,,,,YES,,"Baldi, Bernardino",1592,Nova gnomonices [manuscript],,,Latin,,"DL to digitize AFTER GW. HASSELBLAD. [8], [342], [4] p. : ill. ; 30 cm. ""shot"" - Carilyn/HoS. Manuscript",,365,73,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,2'd,,,
DL,,,8/25/2015,,-,,,,99286594302042,WS2|Ready for script,Baldi_1621,233,95,3 Yes,,6/18/2015,,,,YES,7/17/2015,"Baldi, Bernardino",1621,Bernardino Baldi vrbinatis gvastallae abbatis In mechanica Aristotelis problemata...,Mainz,,Latin,,,Special,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,,Final1,,
DL,,,8/10/2015,8/11/2015,8/14/2015,,hdx0,8/26/2015,99220626202042,Bagit2,barHiyya_1546,,,2 Feature,,5/20/2015,,,,YES,7/17/2015,"bar Hiyya, Abraham",1546,Sphaera mvndi,Basel,,"Hebrew, Latin","Astronomy, Mathematics",,Special,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
,,,,,,,,,99151468802042,,,,,3 Yes,,6/16/2015,,,,YES,7/17/2015,"Barozzi, Francesco",1585,Cosmographia,Venice,,,,,,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
HOS,,-,8/25/2015,,,,,,99220626202042,WS2|Ready for script,Bartisch_1583,,,2 Feature,,5/28/2015,,,,YES,,"Bartisch, Georg",1583,Opthalmoduleia,Dresden,,,,,,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',,,
DL,,6/1/2014,,,done,,rsync2,7/28/2015,99362643502042,UL-Bagit [file archive],Bayer_1661,208,50,2 Feature,,5/14/2015,,,,YES,,"Bayer, Johann",1661,Uranometria [bound with Bayer 1697 Explicatio characterum],Ulm,,,,Bound with Bayer 1697 Explicatio characterum - 95 pp total,,,52,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,1,,,
DL,,done,8/5/2015,8/11/2015,8/17/2015,,hdx0,8/26/2015,9965435402042,Bagit2,Beati_1662,562,135,3 Yes,,6/10/2015,,,,YES,7/17/2015,"Beati, Gabriele",1662,Sphaera triplex,Rome,,,,"CANON. [16], 274, [13] p., [5] leaves of plates (3 fold.) : ill. ; 18 cm. ",WS1,315,63,cosmic section. Bound with 2 other works.,History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,2',,,
DL,3/6/2015,7/10/2015,,,,,,,99189271302042,WS|HoS|Ready to export,Becher_1719,435,104,N,SUBTRACT,,,,,-,,"Becher, Johann Joachim",1719,Opuscula chymica,Nuremberg & Altdorf,,Latin,,CANON. ,WS1,,,,National Weather Center,,,8/31/2016,2',,,
,,,,,,,,,,,,,,N,SUBTRACT,,,,,-,,"Benedetti, Giovanni Battista",1585,Diversarvm specvlationvm mathematicarum & physicarum,Tavrini,,,,,,,,,National Weather Center,,8/1/2015,8/31/2016,2',,,
,,,,,,,,,99193107802042,,Bessel_1875,,,2 Feature,ADD,6/22/2015,,,,YES,7/17/2015,"Bessel, Wilhelm",1875,"De motu proprio stellarum fixarum, in Abhandlungen von Friedrich Wilhelm Bessel (3 volumes?)",Leipzig,,,,HASSELBLAD.,,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,,,,
,,,,,,,,,99368224302042,,,,,3 Yes,,6/10/2015,,,,YES,7/17/2015,"Biancani, Giuseppe",1620,Sphaera mundi,Bologne,,,,"CANON. 12 p.l., 445 p. diagrs., fold. plate, tables. 24 cm. ",,470,94,"We have editions of Sphaera mvndi from 1620, 1635, and 1653.  The three parts of this work cover cosmography, mathematical geography, and echoes.–J",History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,2',,,
In progress,8/24/2015,,,,,,,,9948284002042,WS|HoS,Bion_1710,,,3 Yes,,6/10/2015,,,,NO,,"Bion, Nicolas",1710,"L'usage des globes caeleste et terrestre, et des sphaeres, suivant les diffaerens systaemes du monde",Paris,,,,CANON. 480 images. 20 cm.,,,,,,,,,2',,,
,,,,,,,,,99245837902042,,Biringuccio_1540,,,2 Feature,,6/12/2015,,,,YES,7/15/2015,"Biringuccio, Vannoccio",1540,De la pirotechnia,Venice,,,,CANON. ,,,,,History of Science Collections,"Galileo, Engineer",8/1/2015,8/31/2016,2',,,
,,,,,,,,,99170092802042,,,,,N,-,"6/1/2015, 6/18/2015",,,,YES,,Boccaccio; John Payne; Sir Walter Raleigh,1928,The Decameron,New York,,,,,,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',,,
,,,,,,,,,,,,,,N,SUBTRACT,,,,,-,,"Boccone, Paolo; Andrea Cesalpino",1697,Museo di piante,,,,,"CANON. Bound with Museo di Fisica e di Esperienze (Venice, 1697)",,,,,,,,,2c,B2,,
DL,,,,,,,,,99301087602042,WS|HoS|Ready to export ?,Bode_1782,164,39,3 Yes,,6/30/2015,,,,,,"Bode, Johann",1782,Vorstellung,Berlin,,,,CANON.,WS1,,,,,,1/21/2016,4/3/2016,2a,,,
DL,,6/1/2014,,,done,,--,Islandora issues,99190905302042,"WS|HoS|Ready to export, UL-Bagit [file archive]",Bode_1801,53,13,2 Feature,,5/18/2015,,,,YES,,"Bode, Johann",1801,Uranographia,Berlin,,,,63 pp,WS1,,102,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,1,,,
,,,,,,,,,99215901202042,,,,,3 Yes,,,,,,NO,,"Boeddicker, Otto",1892,The Milky Way... drawn at the Earl of Rosse’s Observatory at Birr Castle,London,,,,HASSELBLAD.,,,,,,,,,2a,B3,,
,,,,,,,,,,,,,,N,SUBTRACT,,,,,-,,"Bonanni, Philippo",1691,Observationes circa viventia... cum micrographia curiosa,,,,,,,,,,,,,,2',,,
DL,7/27/2015,8/5/2015,8/7/2015,8/11/2015,8/17/2015,,hdx0,8/26/2015,993582602042,Bagit2,Borelli_1685,,,3 Yes,ADD,6/26/2015,,,,YES,7/29/2015,"Borelli, Giovanni",1685,De motu animalium,Leiden,,,,CANON. 2 pt. in 1 v. 18 folded pl. 22 cm.,WS1,,,,Headington Hall,,10/15/2015,4/15/2016,2',,,
DL,,,7/13/2015,7/13/2015,"earlier, and 7/28",,hd5,8/4/2015,993582602042,Bagit2,Borelli_1680-1681,969,243,2 Feature,,5/8/2015,,,,YES,,"Borelli, Giovanni",1680-1681,De motu animalium,Rome,,,,"HASSELBLAD. Vol. 1: [12], 376, [12] p., [14] leaves of plates; v. 2: [4], 520 p., [4] leaves of plates. ",,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',B1,,
,,,,,,,,,99115489902042,,Borghi_1517,,,2 Feature,,6/12/2015,,,,YES,7/15/2015,"Borghi, Piero",1517,Libro de abacho,Venice,,,,CANON. 94 [i.e. 100] leaves ; |c 23 cm. (4to). Error in foliation: no. 91-94 repeated.,,,,,History of Science Collections,"Galileo, Engineer",8/1/2015,8/31/2016,2'',,,
DL,,,,7/14/2015,done,,hd4,7/28/2015,9941523302042,Bagit2,Boscovich_1749,244,13,3 Yes,,6/2/2015,,,,YES,,"Boscovich, Ruggero Giuseppe",1749,Sopra il turbine,Rome,,,,CANON,,,,,National Weather Center,,,8/31/2016,2',,,
DL,,,,,done,,issues,,99128929502042,UL-Bagit [file archive],Boyle_1660,,,2 Feature,,6/2/2015,,,,,,"Boyle, Robert",1660,"New experiments physico­mechanical, touching the spring and weight of the air, and their effects [Spring of the Air]",Oxford,,English,"Air, Air pump","[28], 399 p., fold. plate. ; 18 cm. ",,,78.1,,National Weather Center,,,8/31/2016,1,,,
,,,,,,,,,Cataloging needs PDF,,,,,3 Yes,ADD,6/18/2015,,,,YES,7/17/2015,"Bradley, James",1729,"""An Account of a New Discovered Motion of the Fix’d Stars,"" in Philosophical Transactions of the Royal Society of London (1720), No. 406, pages 637-660",London,,,,,,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
,,,,,,,,,99238631002042,,,,,3 Yes,,6/10/2015,,,,YES,7/17/2015,"Brahe, Tycho",1596,Epistolarum astronomicarum,Uraniborg,,,,"Hasselblad? [40], 309, [2] p. : ill., map, plans ; 23 cm. (4to) ",,,,,History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,2',,,
DL,7/8/2015,7/10/2015,7/12/2015,7/13/2015,done,,hd5,8/4/2015,99304003402042,Bagit2,Brahe_1602,121,13,1 Highlight,,6/10/2015,,,,YES,7/17/2015,"Brahe, Tycho",1602,Astronomiae instauratae mechanica,Nuremberg,,,,"HASSELBLAD. [107] p. illus., map. 31 cm. ",,,,,History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,2',B3,,
,,,,,,,,,99109951002042,,,,,3 Yes,,6/15/2015,,,,YES,7/17/2015,"Brahe, Tycho",1648,Opera omnia,Frankfurt,,,,Hasselblad? 2 v. in 1 : ill. ; 24 cm.,,,,,History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,2',,,
,,,,,,,,,99337456302042,,,,,3 Yes,,7/2/2015,,,,NO,,"Brahe, Tycho; Elias Morsing",1586,Diarium astrologicum,Uraniborg,,,,"CANON. [2], [59], [3] p. : ill. ; 20 cm. ",,,,,,,,,3,,,
,,,,,,,,,,,,,,N,SUBTRACT,,,,,-,,"Brunfels, Otto",1530-1532,Herbarum vivae eicones: ad nature imitationem,Strassburg,,,,"2 v. in 1 ([8], 266, [64]; [6], 11 [i.e. 5]-90, [2] (blank), 199 [i.e. 201], [5] p.) : ill. ; 34 cm. (fol.) ",,,,Open to a new world plant.                             Illustrations by Hans Weiditz. Important herbal.,,,,,2c,,,
,,,,,,,,,99334189502042,,,,,3 Yes,ADD,-,,,,NO,,"Bruno, Giordano",1648 /or/ 1587?,De progressu et lampade venatoria logicorum,Wittenberg,,,,1587 in catalog:  CANON. 100 images. 16 cm.,,,,,,,,,2',,,
,,,,,,,,,99200882302042,,,,,3 Yes,ADD,-,,,,NO,,"Bruno, Giordano",1750,Le ciel reformé,Paris,,,,CANON. 100 images. 17 cm.,,,,,,,,,2',,,
HOS,,-,,,,,,,99237987202042,WS2|Prep and export,Buckland_1823,,,N,SUBTRACT,,,,,-,,"Buckland, William",1823,[Vindici geologic?] inaugural lecture at Oxford,,,,,,,,0.637,,,,8/1/2015,1/17/2016,1,,Hand-colored print.,
,,,,,,,,,99152145302042,,,,,N,,6/25/2015,,,,YES,7/17/2015,"Buffon, Georges Louis Leclerc, comte de",1749-1804,Histoire naturelle [Lynx illustration in vol 9 of 44 volumes],Paris,,,,"44 v. in 45 : ill., maps, port. ; 27 cm. ",,,,,History of Science Collections,Exploration Room,8/1/2015,8/31/2016,2c,,,
,,,,,,,,,99282610302042,,,,,N,-,6/18/2015,,,,YES,7/9/2015,"Buonanni, Philippo",,Observations circa viventia... cum micrographia curiosa,Rome,,Observations circa viventia... cum micrographia curiosa,"Observations on living things, with curious microscopic studies",Rome,,,,,,,,,,,,
HOS,,-,8/24/2015,,,,,,99366886402042,WS2|Ready for script,Burnet_1684,,,3 Yes,,5/22/2015,,,,YES,7/17/2015,"Burnet, Thomas",1684,Theory of the Earth (2 volumes),London,,,,"2 v. illus., plates, 2 double maps, diagrs. 35 cm. ",,,,,History of Science Collections,Galileo Affair,8/1/2015,8/31/2016,2',,,
,,,,,,,,,,,,,,N,SUBTRACT,,,,,-,,"Burritt, Elijah H. ",1856,Geography of the Heavens,New York,,,,,,,,,,,,,2a,,,
,,,,,,,,,99262707002042,,,,,3 Yes,ADD,5/28/2015,,,,,,"Burton, Robert",1628,The Anatomy of Melancholy,Oxford,,,,,,,,,,,,,,,,
,,,,,,,,,99155488502042,,,,,3 Yes,ADD,,,,,,,"Byron, Lord",1815-1824,Works (11 volumes),London,,,,,,,,,,,,,,,,
DL,,,,7/14/2015,done,,hd4,7/28/2015,99105121602042,Bagit2,Campanella_1622,71,5,3 Yes,,7/1/2015,,,,YES,7/17/2015,"Campanella, Tomasso",1622,Apologia pro Galileo,Frankfurt,,,,CANON. 58 p. 23 cm.,,65,13,images not yet uploaded to server [?],History of Science Collections,Galileo Affair,8/1/2015,8/31/2016,2',,,
DL,,7/30/2015,8/5/2015,8/11/2015,8/14/2015,,hd9,8/23/2015,99552986502042,Bagit2,Rossi_Vignola_1682,2,0,2 Feature,,6/10/2015,,,,YES,7/15/2015,"Cantelli, Giacomo",1682,Il Regno della China [map],Rome,YES,Italian,,Cataloged from PDF 7/2015. Giacomo Cantelli da Vignola & G.G. de Rossi. 1 map : mounted on cloth ; 42 x 53 cm.,TempWS,,197,,History of Science Collections,Galileo and China,8/1/2015,8/31/2016,2',,,
DL,,,,,done,,rsync0?,6/24/2015,99214805602042,UL-Bagit [file archive],Capella_1499,261,63,2 Feature,,6/9/2015,,,,YES,,"Capella, Martianus",1499,Opus Martiani Capelle De nuptijs philologie [et] Mercurij libri duo,Verona,,Latin,,,,,52,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,1,,,
DL,,,,,done,,rsync0?,6/24/2015,99213462802042,UL-Bagit [file archive],Capra_1606,35,8,2 Feature,,5/22/2015,,,,NO,,"Capra, Balthesar",1606,Tyrocinia Astronomica,Padua,,Latin,"Mathematics, Astronomy",1/5  By a former student who plagiarized Galileo's Compass.,,,,,,,,,2',,,http://hos.ou.edu/galleries/17thCentury/Capra/1606/
